ID,Player ID,Player name,Home vs Away,Mat,Inns,NNO,Runs,HS,Not Out,Avg,BF,SR,100s,50s,0s,4s,6s
19,12086,Abhishek Sharma,home,3,3,0,35,16,0,11.66,22,159.09,0,0,0,6,1
19,12086,Abhishek Sharma,away,5,4,0,124,100,0,31,71,174.64,1,0,1,9,9
21,13217,Arshdeep  Singh,home,13,3,2,2,2,1,2,8,25,0,0,1,0,0
21,13217,Arshdeep  Singh,away,16,7,5,22,12,0,11,14,157.14,0,0,1,3,0
22,9781,Avesh  Khan,home,11,1,1,1,1,1,,1,100,0,0,0,0,0
22,9781,Avesh  Khan,away,7,3,1,25,16,0,12.5,17,147.05,0,0,0,3,1
20,8808,Axar Patel,home,29,17,8,214,65,0,23.77,144,148.61,0,1,1,19,8
20,8808,Axar Patel,away,16,9,3,106,20,1,17.66,77,137.66,0,0,1,6,5
23,7836,Deepak Chahar,home,18,5,3,53,31,0,26.5,28,189.28,0,0,1,4,4
23,7836,Deepak Chahar,away,6,2,2,0,0,1,,0,,0,0,0,0,0
24,14691,Dhruv Jurel,away,2,1,0,6,6,0,6,14,42.85,0,0,0,1,0
7,9647,Hardik Pandya,home,43,34,8,672,71,1,25.84,458,146.72,0,1,1,52,36
7,9647,Hardik Pandya,away,39,30,11,593,51,0,31.21,431,137.58,0,1,0,46,29
25,10276,Ishan  Kishan,home,22,22,0,645,89,0,29.31,505,127.72,0,6,1,64,29
25,10276,Ishan  Kishan,away,8,8,1,136,36,0,19.42,114,119.29,0,0,0,13,7
14,9311,Jasprit Bumrah,home,29,6,4,8,7,0,4,13,61.53,0,0,1,1,0
14,9311,Jasprit Bumrah,away,24,1,1,0,0,1,,0,,0,0,0,0,0
26,10214,Jitesh Sharma,home,4,4,0,90,35,0,22.5,57,157.89,0,0,1,9,4
26,10214,Jitesh Sharma,away,2,2,0,5,4,0,2.5,7,71.42,0,0,0,1,0
27,10952,Khaleel Ahmed,home,6,,,,,0,,,,,,,,
27,10952,Khaleel Ahmed,away,10,2,2,1,1,1,2,50,0,0,0,0,0,
10,8733,KL Rahul,home,31,30,3,1018,91,0,37.7,749,135.91,0,12,2,93,42
10,8733,KL Rahul,away,21,20,3,659,101,1,38.76,473,139.32,1,4,2,49,30
15,8292,Kuldeep Yadav,home,16,2,0,16,16,0,8,20,80,0,0,1,1,0
15,8292,Kuldeep Yadav,away,16,3,2,30,23,1,30,38,78.94,0,0,0,1,0
13,7909,Mohammed Shami,home,1,,,,,0,,,,,,,,
13,7909,Mohammed Shami,away,7,,,,,0,,,,,,,,
18,10808,Mohammed Siraj,home,5,1,0,5,5,0,5,7,71.42,0,0,0,1,0
18,10808,Mohammed Siraj,away,8,2,1,2,2,1,2,2,100,0,0,1,0,0
28,10754,Mukesh Kumar,home,7,1,1,0,0,1,,0,,0,0,0,0,0
28,10754,Mukesh Kumar,away,8,2,1,1,1,1,1,4,25,0,0,1,0,0
17,9715,Navdeep Saini,home,5,1,1,0,0,1,1,0,0,0,0,0,0,0
17,9715,Navdeep Saini,away,4,2,2,12,11,1,10,11,120,0,0,0,2,0
29,14659,Ravi  Bishnoi,home,13,3,0,6,4,0,2,6,100,0,0,1,0,0
29,14659,Ravi  Bishnoi,away,18,5,2,28,9,0,9.33,25,112,0,0,0,3,1
8,587,Ravindra Jadeja,home,20,12,5,119,45,1,17,91,130.76,0,0,2,13,2
8,587,Ravindra Jadeja,away,25,16,6,254,46,1,25.4,204,124.5,0,0,0,18,7
30,10896,Rinku Singh,home,11,9,6,260,69,1,86.66,150,173.33,0,2,0,23,14
30,10896,Rinku Singh,away,16,12,4,210,68,1,26.25,142,147.88,0,1,1,15,12
12,10744,Rishabh Pant,home,35,29,7,461,58,0,20.95,369,124.93,0,2,1,41,17
12,10744,Rishabh Pant,away,19,18,4,402,65,1,28.71,310,129.67,0,1,1,33,17
31,12305,Riyan Parag,away,6,4,0,57,26,0,14.25,51,111.76,0,0,0,2,3
2,576,Rohit Sharma,home,58,57,5,1532,121,1,29.46,1051,145.76,4,6,5,136,85
2,576,Rohit Sharma,away,49,45,5,1145,100,1,28.62,847,135.18,1,11,5,107,47
6,11813,Ruturaj Gaikwad,home,11,11,1,323,123,1,32.3,221,146.15,1,2,1,31,15
6,11813,Ruturaj Gaikwad,away,9,7,2,245,77,1,49,171,143.27,0,2,0,26,6
11,8271,Sanju Samson,home,6,5,0,68,39,0,13.6,46,147.82,0,0,1,5,4
11,8271,Sanju Samson,away,20,18,2,318,77,0,19.87,249,127.71,0,2,3,23,14
9,8683,Shardul Thakur,home,9,3,2,32,22,1,32,13,246.15,0,0,1,3,2
9,8683,Shardul Thakur,away,11,2,1,37,20,0,37,22,168.18,0,0,0,2,2
33,11195,Shivam Dubey,home,11,7,4,188,63,1,62.66,120,156.66,0,3,0,13,10
33,11195,Shivam Dubey,away,12,9,3,133,31,1,22.16,112,118.75,0,0,0,7,7
4,9428,Shreyas Iyer,home,37,33,8,800,74,1,32,574,139.37,0,6,1,71,28
4,9428,Shreyas Iyer,away,13,13,3,240,58,1,24,197,121.82,0,1,3,11,14
3,11808,Shubman Gill,home,7,7,1,225,126,1,37.5,134,167.91,1,0,0,24,10
3,11808,Shubman Gill,away,12,12,1,267,66,0,24.27,225,118.66,0,2,1,32,7
32,7915,Suryakumar Yadav,home,26,25,4,904,112,1,43.04,537,168.34,1,8,2,72,58
32,7915,Suryakumar Yadav,away,20,20,2,874,117,0,48.55,508,172.04,3,6,1,89,46
34,14504,Tilak Verma,home,4,4,2,76,31,1,38,58,131.03,0,0,0,8,2
34,14504,Tilak Verma,away,7,7,1,169,51,0,28.16,124,136.29,0,1,2,15,6
1,1413,Virat Kohli,home,46,45,14,1577,94,1,50.87,1061,148.63,0,14,3,145,56
1,1413,Virat Kohli,away,39,36,7,1205,90,1,41.55,883,136.46,0,10,2,106,27
35,10945,Washington Sundar,home,24,8,2,85,50,0,14.16,50,170,0,1,2,8,5
35,10945,Washington Sundar,away,17,8,2,67,27,0,11.16,69,97.1,0,0,2,5,2
36,13940,Yashasvi Jaiswal,home,7,7,0,210,68,0,30,122,172.13,0,2,0,24,13
36,13940,Yashasvi Jaiswal,away,11,11,1,324,93,1,32.4,210,154.28,0,2,1,38,15
16,7910,Yuzvendra Chahal,home,39,2,2,3,3,1,,6,50,0,0,0,0,0
16,7910,Yuzvendra Chahal,away,32,3,1,3,1,1,1.5,6,50,0,0,0,0,0
