Player ID,Player name,Opponent Team,Mat,Inns,NNO,Runs,HS,Not Out,Avg,BF,SR,100s,50s,0s,4s,6s
12086,Abhishek Sharma,Zimbabwe,5,4.0,0.0,124.0,100.0,0,31.0,71.0,174.64,1.0,0.0,1.0,9.0,9.0
13217,Arshdeep  Singh,Afghanistan,5,1.0,1.0,2.0,2.0,1,,2.0,100.0,0.0,0.0,0.0,0.0,0.0
13217,Arshdeep  Singh,Australia,5,2.0,1.0,2.0,2.0,1,2.0,2.0,100.0,0.0,0.0,1.0,0.0,0.0
13217,Arshdeep  Singh,England,3,2.0,2.0,3.0,2.0,1,,2.0,150.0,0.0,0.0,0.0,0.0,0.0
13217,Arshdeep  Singh,New Zealand,5,1.0,1.0,0.0,0.0,1,,6.0,0.0,0.0,0.0,0.0,0.0,0.0
13217,Arshdeep  Singh,Pakistan,4,1.0,0.0,9.0,9.0,0,9.0,13.0,69.23,0.0,0.0,0.0,1.0,0.0
13217,Arshdeep  Singh,South Africa,6,3.0,2.0,2.0,2.0,1,2.0,2.0,100.0,0.0,0.0,1.0,0.0,0.0
13217,Arshdeep  Singh,Sri Lanka,5,2.0,2.0,2.0,1.0,1,,2.0,100.0,0.0,0.0,0.0,0.0,0.0
13217,Arshdeep  Singh,West Indies,10,4.0,2.0,27.0,12.0,0,13.5,15.0,180.0,0.0,0.0,0.0,3.0,1.0
9781,Avesh  Khan,Australia,3,1.0,1.0,1.0,1.0,1,,1.0,100.0,0.0,0.0,0.0,0.0,0.0
9781,Avesh  Khan,England,1,1.0,1.0,1.0,1.0,1,,1.0,100.0,0.0,0.0,0.0,0.0,0.0
9781,Avesh  Khan,West Indies,5,2.0,1.0,9.0,8.0,0,9.0,6.0,150.0,0.0,0.0,0.0,0.0,1.0
9781,Avesh  Khan,Zimbabwe,3,1.0,0.0,16.0,16.0,0,16.0,12.0,133.33,0.0,0.0,0.0,3.0,0.0
8808,Axar Patel,Afghanistan,4,1.0,0.0,12.0,12.0,0,12.0,6.0,200.0,0.0,0.0,0.0,2.0,0.0
8808,Axar Patel,Australia,9,4.0,0.0,39.0,31.0,0,9.75,33.0,118.18,0.0,0.0,1.0,3.0,1.0
8808,Axar Patel,Bangladesh,2,2.0,1.0,10.0,7.0,0,10.0,11.0,90.9,0.0,0.0,0.0,1.0,0.0
8808,Axar Patel,England,4,3.0,1.0,34.0,17.0,0,17.0,21.0,161.9,0.0,0.0,0.0,4.0,1.0
8808,Axar Patel,Ireland,3,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
8808,Axar Patel,New Zealand,5,3.0,2.0,8.0,5.0,0,8.0,8.0,100.0,0.0,0.0,0.0,1.0,0.0
8808,Axar Patel,Pakistan,2,2.0,0.0,22.0,20.0,0,11.0,21.0,104.76,0.0,0.0,0.0,2.0,1.0
8808,Axar Patel,South Africa,12,8.0,4.0,91.0,47.0,0,22.75,72.0,126.38,0.0,0.0,0.0,5.0,4.0
8808,Axar Patel,Sri Lanka,6,4.0,3.0,127.0,65.0,0,127.0,65.0,195.38,0.0,1.0,0.0,10.0,8.0
8808,Axar Patel,West Indies,7,5.0,1.0,69.0,20.0,1,17.25,48.0,143.75,0.0,0.0,0.0,2.0,5.0
8808,Axar Patel,Zimbabwe,6,4.0,2.0,51.0,20.0,1,25.5,35.0,145.71,0.0,0.0,0.0,2.0,3.0
7836,Deepak Chahar,Australia,4,3.0,2.0,0.0,0.0,1,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0
7836,Deepak Chahar,New Zealand,3,1.0,1.0,21.0,21.0,1,,8.0,262.5,0.0,0.0,0.0,2.0,1.0
7836,Deepak Chahar,South Africa,5,2.0,1.0,31.0,31.0,0,31.0,17.0,182.35,0.0,0.0,0.0,2.0,3.0
7836,Deepak Chahar,West Indies,7,1.0,1.0,1.0,1.0,1,,1.0,100.0,0.0,0.0,0.0,0.0,0.0
