ID,Player ID,Player name,Span,Mat,Inns,NO,RunsDescending,HS,Not Out,Ave,BF,SR,100,50,0,4s,6s,Boundary_avg,Mat_quantile_score,Mat_label,Inns_quantile_score,Inns_label,NO_quantile_score,NO_label,RunsDescending_quantile_score,RunsDescending_label,HS_quantile_score,HS_label,BF_quantile_score,BF_label,SR_quantile_score,SR_label,4s_quantile_score,4s_label
19,12086,Abhishek Sharma,2024-2024,12,11,0,256,100,0,23.27,149,171.81,1,1,1,22,19,3.727,1,Very Low,3,Medium,1,Very Low,3,Medium,4,High,3,Medium,5,Very High,3,Medium
21,13217,Arshdeep Singh,2022-2024,60,19,13,65,12,0,10.83,56,116.07,0,0,2,5,3,1.333,4,High,3,Medium,5,Very High,2,Low,1,Very Low,2,Low,2,Low,2,Low
22,9781,Avesh Khan,2022-2024,25,5,3,27,16,0,13.5,20,135.0,0,0,0,3,1,2.0,2,Low,2,Low,3,Medium,2,Low,1,Very Low,2,Low,3,Medium,2,Low
20,8808,Axar Patel,2021-2024,55,33,12,430,65,0,20.47,296,145.27,0,1,2,34,20,2.571,4,High,5,Very High,5,Very High,3,Medium,3,Medium,3,Medium,4,High,3,Medium
23,7836,Deepak Chahar,2021-2023,12,3,1,52,31,0,26.0,27,192.59,0,0,1,4,4,4.0,1,Very Low,1,Very Low,1,Very Low,2,Low,2,Low,2,Low,5,Very High,2,Low
24,14691,Dhruv Jurel,2024-2024,2,1,0,6,6,0,6.0,14,42.85,0,0,0,1,0,1.0,1,Very Low,1,Very Low,1,Very Low,1,Very Low,1,Very Low,2,Low,1,Very Low,1,Very Low
7,9647,Hardik Pandya,2021-2024,66,57,17,1312,71,0,32.8,938,139.87,0,4,1,107,64,4.275,5,Very High,5,Very High,5,Very High,5,Very High,3,Medium,5,Very High,4,High,5,Very High
25,10276,Ishan Kishan,2021-2023,32,32,1,796,89,0,25.67,640,124.37,0,6,1,79,36,3.71,3,Medium,5,Very High,1,Very Low,5,Very High,4,High,5,Very High,2,Low,5,Very High
14,9311,Jasprit Bumrah,2021-2024,20,2,1,0,0,1,0.0,1,0.0,0,0,1,0,0,0.0,2,Low,1,Very Low,1,Very Low,1,Very Low,1,Very Low,1,Very Low,1,Very Low,1,Very Low
26,10214,Jitesh Sharma,2023-2024,9,7,0,100,35,0,14.28,68,147.05,0,0,1,11,4,2.143,1,Very Low,2,Low,1,Very Low,3,Medium,2,Low,3,Medium,4,High,3,Medium
27,10952,Khaleel Ahmed,2024-2024,4,1,1,0,0,1,,1,0.0,0,0,0,0,0,,1,Very Low,1,Very Low,1,Very Low,1,Very Low,1,Very Low,1,Very Low,1,Very Low,1,Very Low
10,8733,KL Rahul,2021-2022,27,27,2,723,69,0,28.92,564,128.19,0,10,3,55,36,3.64,2,Low,4,High,2,Low,4,High,3,Medium,5,Very High,3,Medium,4,High
15,8292,Kuldeep Yadav,2021-2024,19,5,2,26,23,1,8.66,39,66.66,0,0,2,0,0,0.0,2,Low,2,Low,2,Low,2,Low,1,Very Low,2,Low,1,Very Low,1,Very Low
13,7909,Mohammed Shami,2021-2022,11,3,2,0,0,1,0.0,2,0.0,0,0,1,0,0,0.0,1,Very Low,1,Very Low,2,Low,1,Very Low,1,Very Low,1,Very Low,1,Very Low,1,Very Low
18,10808,Mohammed Siraj,2021-2024,13,4,2,14,7,1,7.0,16,87.5,0,0,1,1,0,0.5,1,Very Low,2,Low,2,Low,2,Low,1,Very Low,2,Low,1,Very Low,1,Very Low
28,10754,Mukesh Kumar,2023-2024,17,4,3,5,4,1,5.0,5,100.0,0,0,1,1,0,1.0,2,Low,2,Low,3,Medium,1,Very Low,1,Very Low,1,Very Low,2,Low,1,Very Low
