ID,Player ID,Player name,In Batting Position,Mat,Inns,NNO,Runs,HS,Not out,Avg,BF,SR,100s,50s,0s,4s,6s
19,12086,Abhishek Sharma,1st position,1,1,0,0,0,0,0,4,0,0,0,1,0,0
19,12086,Abhishek Sharma,2nd position,1,1,0,100,100,0,100,47,212.76,1,0,0,7,8
19,12086,Abhishek Sharma,3rd position,2,2,0,24,14,0,12,20,120,0,0,0,2,1
21,13217,Arshdeep  Singh,8th position,3,3,1,8,8,0,4,5,160,0,0,1,0,1
21,13217,Arshdeep  Singh,9th position,8,8,5,33,12,0,11,29,113.79,0,0,1,4,0
21,13217,Arshdeep  Singh,10th position,3,3,3,3,2,1,,8,37.5,0,0,0,0,0
21,13217,Arshdeep  Singh,11th position,2,2,2,3,2,1,,2,150,0,0,0,0,0
22,9781,Avesh  Khan,9th position,3,3,2,18,16,0,18,15,120,0,0,0,3,0
22,9781,Avesh  Khan,10th position,2,2,1,9,8,0,9,5,180,0,0,0,0,1
20,8808,Axar Patel,4th position,1,1,0,20,20,0,20,18,111.11,0,0,0,2,1
20,8808,Axar Patel,5th position,2,2,0,49,47,0,24.5,34,144.11,0,0,0,1,4
20,8808,Axar Patel,6th position,4,4,0,42,17,0,10.5,36,116.66,0,0,0,6,0
20,8808,Axar Patel,7th position,24,24,11,299,65,0,23,197,151.77,0,1,2,19,16
20,8808,Axar Patel,8th position,5,5,2,46,13,0,15.33,33,139.39,0,0,0,3,2
20,8808,Axar Patel,9th position,1,1,1,7,7,1,,3,233.33,0,0,0,1,0
23,7836,Deepak Chahar,8th position,1,1,0,0,0,0,0,2,0,0,0,1,0,0
23,7836,Deepak Chahar,9th position,5,5,4,53,31,0,53,26,203.84,0,0,0,4,4
23,7836,Deepak Chahar,10th position,1,1,1,0,0,1,,0,,0,0,0,0,0
24,14691,Dhruv Jurel,6th position,1,1,0,6,6,0,6,14,42.85,0,0,0,1,0
7,9647,Hardik Pandya,3rd position,1,1,0,0,0,0,0,2,0,0,0,1,0,0
7,9647,Hardik Pandya,4th position,5,5,3,130,39,1,65,54,240.74,0,0,0,13,9
7,9647,Hardik Pandya,5th position,38,38,10,837,71,1,29.89,566,147.87,0,3,0,66,41
7,9647,Hardik Pandya,6th position,21,21,6,426,50,1,28.4,335,127.16,0,1,2,25,23
7,9647,Hardik Pandya,7th position,14,14,3,130,25,0,11.81,121,107.43,0,0,0,7,6
25,10276,Ishan  Kishan,1st position,11,11,0,222,76,0,20.18,181,122.65,0,1,0,24,11
25,10276,Ishan  Kishan,2nd position,16,16,0,440,89,0,27.5,360,122.22,0,3,0,49,15
25,10276,Ishan  Kishan,3rd position,4,4,0,114,58,0,28.5,85,134.11,0,2,1,5,9
25,10276,Ishan  Kishan,6th position,1,1,1,20,20,1,,14,142.85,0,0,0,1,1
14,9311,Jasprit Bumrah,9th position,3,3,3,1,1,1,,2,50,0,0,0,0,0
14,9311,Jasprit Bumrah,10th position,3,3,1,7,7,0,3.5,10,70,0,0,1,1,0
14,9311,Jasprit Bumrah,11th position,2,2,1,0,0,1,0,2,0,0,0,1,0,0
26,10214,Jitesh Sharma,4th position,1,1,0,5,5,0,5,4,125,0,0,0,1,0
26,10214,Jitesh Sharma,5th position,2,2,0,31,31,0,15.5,22,140.9,0,0,1,5,0
26,10214,Jitesh Sharma,6th position,4,4,0,64,35,0,16,42,152.38,0,0,0,5,4
27,10952,Khaleel Ahmed,11th position,2,2,2,1,1,1,1,2,50,0,0,0,0,0
10,8733,KL Rahul,1st position,36,36,3,1178,70,0,35.69,870,135.4,0,13,3,91,57
10,8733,KL Rahul,2nd position,18,18,1,648,91,0,38.11,463,139.95,0,8,2,56,27
10,8733,KL Rahul,3rd position,10,10,2,265,101,1,33.12,196,135.2,1,1,0,28,7
10,8733,KL Rahul,4th position,4,4,2,174,110,1,87,99,175.75,1,0,0,16,8
15,8292,Kuldeep Yadav,7th position,1,1,1,23,23,1,,28,82.14,0,0,0,0,0
15,8292,Kuldeep Yadav,8th position,2,2,1,3,3,0,3,9,33.33,0,0,0,0,0
15,8292,Kuldeep Yadav,9th position,4,4,1,20,16,0,6.66,22,90.9,0,0,2,2,0
18,10808,Mohammed Siraj,9th position,1,1,1,2,2,1,,1,200,0,0,0,0,0
18,10808,Mohammed Siraj,10th position,1,1,0,0,0,0,0,1,0,0,0,1,0,0
18,10808,Mohammed Siraj,11th position,2,2,1,12,7,1,12,14,85.71,0,0,0,1,0
28,10754,Mukesh Kumar,10th position,2,2,1,0,0,1,0,3,0,0,0,1,0,0
28,10754,Mukesh Kumar,11th position,2,2,2,5,4,1,,2,250,0,0,0,1,0
29,14659,Ravi  Bishnoi,8th position,4,4,1,19,9,0,6.33,15,126.66,0,0,1,2,1
29,14659,Ravi  Bishnoi,9th position,3,3,2,20,8,1,20,13,153.84,0,0,0,3,0
29,14659,Ravi  Bishnoi,10th position,1,1,0,2,2,0,2,2,100,0,0,0,0,0
8,587,Ravindra Jadeja,4th position,3,3,1,63,35,0,31.5,68,92.64,0,0,0,3,2
8,587,Ravindra Jadeja,5th position,1,1,1,45,45,1,,18,250,0,0,0,7,1
8,587,Ravindra Jadeja,6th position,7,7,3,148,46,1,37,113,130.97,0,0,0,14,1
8,587,Ravindra Jadeja,7th position,18,18,8,201,44,1,20.1,144,139.58,0,0,1,12,9
