Bowler ID,Player Name,Opponent,Innings,Total Balls Bowled,Total Wickets,Total Runs Conceded,Economy,Total Dot Balls,Dot Ball %,Powerplay Balls,Powerplay Wickets,Powerplay Runs,Middle Overs Balls,Middle Overs Wickets,Middle Overs Runs,Death Overs Balls,Death Overs Wickets,Death Overs Runs
13217,Arshdeep Singh,England,3,45,2,53,7.066666666666666,25,55.55555555555556,42,0,52,6,0,7,18,4,14
9647,Hardik Pandya,England,4,66,7,112,10.181818181818182,23,34.84848484848485,18,4,20,54,6,92,18,1,34
7910,Yuzvendra Chahal,England,2,36,4,43,7.166666666666666,14,38.88888888888889,0,0,0,60,6,76,0,0,0
8808,Axar Patel,England,3,59,4,77,7.830508474576272,23,38.983050847457626,24,2,30,46,2,71,0,0,0
9311,Jasprit Bumrah,England,2,34,4,23,4.0588235294117645,19,55.88235294117647,36,3,26,12,2,4,4,1,3
587,Ravindra Jadeja,England,3,54,0,83,9.222222222222221,15,27.77777777777778,6,0,11,60,0,94,0,0,0
9781,Avesh Khan,England,1,24,1,45,11.25,13,54.166666666666664,24,2,14,12,0,34,12,0,42
14659,Ravi Bishnoi,England,1,24,2,31,7.75,11,45.83333333333333,12,0,16,24,0,42,12,4,4
7836,Deepak Chahar,West Indies,3,53,3,83,9.39622641509434,23,43.39622641509434,47,2,57,18,2,38,6,0,16
7910,Yuzvendra Chahal,West Indies,7,156,8,230,8.846153846153847,54,34.61538461538461,42,3,68,102,3,129,36,3,67
14659,Ravi Bishnoi,West Indies,7,155,11,181,7.006451612903225,103,66.45161290322581,12,0,26,139,11,140,28,2,37
9781,Avesh Khan,West Indies,5,92,3,158,10.304347826086957,43,46.73913043478261,48,2,71,36,0,64,32,1,66
9311,Jasprit Bumrah,Sri Lanka,2,42,1,45,6.428571428571429,23,54.761904761904766,36,0,33,6,1,5,18,0,26
7910,Yuzvendra Chahal,Sri Lanka,6,120,8,158,7.9,39,32.5,30,0,31,102,9,130,6,0,8
587,Ravindra Jadeja,Sri Lanka,2,48,2,65,8.125,17,35.41666666666667,0,0,0,72,3,93,0,0,0
10808,Mohammed Siraj,Sri Lanka,4,78,2,83,6.384615384615385,41,52.56410256410257,84,2,73,0,0,0,18,1,32
9781,Avesh Khan,Sri Lanka,1,24,2,28,7.0,17,70.83333333333334,36,4,18,0,0,0,12,0,38
8292,Kuldeep Yadav,Sri Lanka,1,24,0,29,7.25,10,41.66666666666667,0,0,0,48,0,58,0,0,0
14659,Ravi Bishnoi,Sri Lanka,4,95,7,134,8.463157894736842,36,37.89473684210527,6,0,11,82,4,113,30,4,43
9781,Avesh Khan,South Africa,4,89,5,112,7.550561797752809,47,52.80898876404494,40,2,61,42,3,46,30,0,41
7910,Yuzvendra Chahal,South Africa,4,85,6,116,8.188235294117646,39,45.88235294117647,18,0,34,72,6,77,8,0,31
9647,Hardik Pandya,South Africa,5,72,4,116,9.666666666666668,28,38.88888888888889,24,0,56,36,0,59,18,4,19
8808,Axar Patel,South Africa,8,155,6,239,9.251612903225807,59,38.064516129032256,12,1,18,144,4,227,23,2,34
9428,Shreyas Iyer,South Africa,1,2,0,2,6.0,1,50.0,0,0,0,0,0,0,4,0,4
13217,Arshdeep Singh,Pakistan,4,93,7,127,8.193548387096774,48,51.61290322580645,53,4,51,18,0,24,46,6,85
7909,Mohammed Shami,Pakistan,1,24,1,26,6.5,15,62.5,12,0,16,24,2,16,12,0,20
9647,Hardik Pandya,Pakistan,4,96,9,124,7.75,41,42.70833333333333,18,0,30,78,8,91,24,4,34
8808,Axar Patel,Pakistan,2,18,1,32,10.666666666666666,8,44.44444444444444,0,0,0,18,1,51,6,0,2
13217,Arshdeep Singh,Netherlands,1,24,2,39,9.75,10,41.66666666666667,12,0,22,12,0,18,24,4,38
7909,Mohammed Shami,Netherlands,1,24,1,27,6.75,10,41.66666666666667,24,0,26,0,0,0,24,2,28
8808,Axar Patel,Netherlands,1,24,2,18,4.5,11,45.83333333333333,12,2,6,36,2,30,0,0,0
9647,Hardik Pandya,Netherlands,1,6,0,9,9.0,2,33.33333333333333,0,0,0,12,0,18,0,0,0
13217,Arshdeep Singh,South Africa,6,119,11,188,9.478991596638656,61,51.26050420168067,89,12,109,24,1,43,30,0,61
7909,Mohammed Shami,South Africa,1,24,1,13,3.25,15,62.5,12,2,6,24,0,8,12,0,12
