MatchID,BatsmanName,BowlerName,FielderName,ModeOfDismissal
1616,Rohit Sharma,MM Ali,JC Buttler,caught
1616,Ishan Kishan,MM Ali,MW Parkinson,caught
1616,Suryakumar Yadav,CJ Jordan,JC Buttler,caught
1616,Axar Patel,MW Parkinson,JJ Roy,caught
1616,Hardik Pandya,RJW Topley,HC Brook,caught
1616,DJ Malan,Hardik Pandya,,bowled
1616,LS Livingstone,Hardik Pandya,KD Karthik,caught
1616,JJ Roy,Hardik Pandya,HV Patel,caught
1616,HC Brook,Yuzvendra Chahal,Suryakumar Yadav,caught
1616,MM Ali,Yuzvendra Chahal,KD Karthik,stumped
1616,SM Curran,Hardik Pandya,KD Karthik,caught
1616,RJW Topley,Arshdeep Singh,KD Karthik,caught
1616,MW Parkinson,Arshdeep Singh,DJ Hooda,caught
1628,Rohit Sharma,RJ Gleeson,JC Buttler,caught
1628,Virat Kohli,RJ Gleeson,DJ Malan,caught
1628,Rishabh Pant,RJ Gleeson,JC Buttler,caught
1628,Suryakumar Yadav,CJ Jordan,SM Curran,caught
1628,Hardik Pandya,CJ Jordan,DJ Malan,caught
1628,JJ Roy,B Kumar,Rohit Sharma,caught
1628,JC Buttler,B Kumar,Rishabh Pant,caught
1628,LS Livingstone,Jasprit Bumrah,,bowled
1628,HC Brook,Yuzvendra Chahal,Suryakumar Yadav,caught
1628,DJ Malan,Yuzvendra Chahal,HV Patel,caught
1628,SM Curran,Jasprit Bumrah,Hardik Pandya,caught
1628,MM Ali,Hardik Pandya,Rohit Sharma,caught
1628,CJ Jordan,Hardik Pandya,"RG Sharma, YS Chahal",run out
1628,RJ Gleeson,B Kumar,Virat Kohli,caught
1631,JC Buttler,Avesh Khan,,bowled
1631,JJ Roy,Umran Malik,Rishabh Pant,caught
1631,DJ Malan,Ravi Bishnoi,Rishabh Pant,caught
1631,MM Ali,Ravi Bishnoi,HV Patel,caught
1631,HC Brook,HV Patel,Ravi Bishnoi,caught
1631,Rishabh Pant,RJW Topley,JC Buttler,caught
1631,Virat Kohli,DJ Willey,JJ Roy,caught
1631,Rohit Sharma,RJW Topley,PD Salt,caught
1631,Shreyas Iyer,RJW Topley,JC Buttler,caught
1631,Ravindra Jadeja,RJ Gleeson,,lbw
1631,Suryakumar Yadav,MM Ali,PD Salt,caught
1631,Ravi Bishnoi,CJ Jordan,,bowled
1467,BA King,B Kumar,Suryakumar Yadav,caught
1467,KR Mayers,Yuzvendra Chahal,,lbw
1467,RL Chase,Ravi Bishnoi,,lbw
1467,R Powell,Ravi Bishnoi,VR Iyer,caught
1467,AJ Hosein,Deepak Chahar,,caught and bowled
1467,N Pooran,HV Patel,Virat Kohli,caught
1467,OF Smith,HV Patel,Rohit Sharma,caught
1467,Rohit Sharma,RL Chase,OF Smith,caught
1467,Ishan Kishan,RL Chase,FA Allen,caught
1467,Virat Kohli,FA Allen,KA Pollard,caught
1467,Rishabh Pant,SS Cottrell,OF Smith,caught
1473,Ishan Kishan,SS Cottrell,KR Mayers,caught
1473,Rohit Sharma,RL Chase,BA King,caught
1473,Suryakumar Yadav,RL Chase,,caught and bowled
1473,Virat Kohli,RL Chase,,bowled
1473,KR Mayers,Yuzvendra Chahal,,caught and bowled
1473,BA King,Ravi Bishnoi,Suryakumar Yadav,caught
1473,N Pooran,B Kumar,Ravi Bishnoi,caught
1479,Ruturaj Gaikwad,JO Holder,KR Mayers,caught
1479,Shreyas Iyer,HR Walsh,JO Holder,caught
1479,Ishan Kishan,RL Chase,,bowled
1479,Rohit Sharma,DC Drakes,,bowled
1479,Suryakumar Yadav,R Shepherd,R Powell,caught
1479,KR Mayers,Deepak Chahar,Ishan Kishan,caught
1479,SD Hope,Deepak Chahar,Ishan Kishan,caught
1479,KA Pollard,VR Iyer,Ravi Bishnoi,caught
1479,JO Holder,VR Iyer,Shreyas Iyer,caught
1479,N Pooran,SN Thakur,Ishan Kishan,caught
1479,R Shepherd,HV Patel,Rohit Sharma,caught
1479,DC Drakes,SN Thakur,Rohit Sharma,caught
1492,Rohit Sharma,CBRLS Kumara,,bowled
1492,Ishan Kishan,MD Shanaka,J Liyanage,caught
1492,K Mishara,B Kumar,Rohit Sharma,caught
1492,J Liyanage,VR Iyer,Sanju Samson,caught
1492,LD Chandimal,Ravindra Jadeja,Ishan Kishan,stumped
1492,MD Shanaka,Yuzvendra Chahal,B Kumar,caught
1492,C Karunaratne,VR Iyer,Ishan Kishan,caught
1493,MD Gunathilaka,Ravindra Jadeja,VR Iyer,caught
1493,KIC Asalanka,Yuzvendra Chahal,,lbw
1493,K Mishara,HV Patel,Shreyas Iyer,caught
1493,LD Chandimal,Jasprit Bumrah,Rohit Sharma,caught
1493,Rohit Sharma,PVD Chameera,,bowled
1493,Ishan Kishan,CBRLS Kumara,MD Shanaka,caught
1493,Sanju Samson,CBRLS Kumara,B Fernando,caught
1494,MD Gunathilaka,Mohammed Siraj,,bowled
1494,P Nissanka,Avesh Khan,VR Iyer,caught
1494,KIC Asalanka,Avesh Khan,Sanju Samson,caught
1494,J Liyanage,Ravi Bishnoi,,bowled
1494,Rohit Sharma,PVD Chameera,C Karunaratne,caught
1494,Sanju Samson,C Karunaratne,LD Chandimal,caught
1554,Ruturaj Gaikwad,WD Parnell,T Bavuma,caught
1554,Ishan Kishan,KA Maharaj,T Stubbs,caught
1554,Shreyas Iyer,D Pretorius,,bowled
1554,Rishabh Pant,A Nortje,HE van der Dussen,caught
1554,T Bavuma,B Kumar,Rishabh Pant,caught
1554,Q de Kock,Axar Patel,Ishan Kishan,caught
1569,Ruturaj Gaikwad,K Rabada,KA Maharaj,caught
1569,Ishan Kishan,A Nortje,HE van der Dussen,caught
1569,Rishabh Pant,KA Maharaj,HE van der Dussen,caught
1569,Hardik Pandya,WD Parnell,,bowled
