Player ID,Player Name,Match Number,Overs Bowled,Balls_Bowled,Maidens,Runs Conceded,Wickets,Economy Rate,Dot Ball %,Boundary %,Extras Given,Impact Wickets Per Over,Bowling Strike Rate,Bowling Average
13217,Arshdeep Singh,1616,3.3,23,0,20,2,6.06,65.22,8.7,2,0.97,11.5,10
9647,Hardik Pandya,1616,4,25,0,34,4,8.5,44,16,1,1.36,6.25,8.5
7910,Yuzvendra Chahal,1616,4,24,0,33,2,8.25,37.5,16.67,0,0.65,12,16.5
8808,Axar Patel,1616,1.5,13,0,24,0,16,23.08,23.08,2,0,0,0
9311,Jasprit Bumrah,1628,3,18,0,10,2,3.33,61.11,5.56,0,1.06,9,5
9647,Hardik Pandya,1628,3,18,0,30,2,10,33.33,22.22,0,0.81,9,15
7910,Yuzvendra Chahal,1628,2,12,0,10,2,5,41.67,8.33,0,1.38,6,5
587,Ravindra Jadeja,1628,2,12,0,22,0,11,8.33,25,0,0,0,0
9781,Avesh Khan,1631,4,26,0,45,1,11.25,50,19.23,2,0.35,26,45
14659,Ravi Bishnoi,1631,4,25,0,31,2,7.75,44,12,1,0.69,12.5,15.5
587,Ravindra Jadeja,1631,4,25,0,45,0,11.25,32,24,1,0,0,0
7836,Deepak Chahar,1467,3,18,0,28,1,9.33,50,27.78,0,0.45,18,28
7910,Yuzvendra Chahal,1467,4,25,0,34,1,8.5,52,20,1,0.36,25,34
14659,Ravi Bishnoi,1467,4,30,0,22,2,5.5,76.67,3.33,6,0.88,15,11
7836,Deepak Chahar,1473,4,24,0,40,0,10,33.33,25,0,0,0,0
7910,Yuzvendra Chahal,1473,4,26,0,31,1,7.75,30.77,11.54,2,0.31,26,31
14659,Ravi Bishnoi,1473,3.5,26,0,30,1,8.57,42.31,11.54,3,0.39,26,30
7836,Deepak Chahar,1479,1.5,11,0,15,2,10,54.55,27.27,0,1.88,5.5,7.5
9781,Avesh Khan,1479,4,25,0,43,0,10.75,44,28,1,0,0,0
14659,Ravi Bishnoi,1479,4,26,0,29,0,7.25,53.85,11.54,2,0,0,0
9311,Jasprit Bumrah,1492,3,18,0,19,0,6.33,38.89,11.11,0,0,0,0
