Player ID,Player Name,Overs Bowled,Balls_Bowled,Maidens,Runs Conceded,Wickets,Economy Rate,Dot Ball %,Boundary %,Extras Given,Wickets Per Over,Bowling Strike Rate,Bowling Average,Match Number
13217,Arshdeep Singh,3.3,23.0,0.0,20.0,2.0,6.06,65.22,8.7,2.0,0.97,11.5,10.0,1616
9647,Hardik Pandya,4.0,25.0,0.0,34.0,4.0,8.5,44.0,16.0,1.0,1.36,6.25,8.5,1616
7910,Yuzvendra Chahal,4.0,24.0,0.0,33.0,2.0,8.25,37.5,16.67,0.0,0.65,12.0,16.5,1616
8808,Axar Patel,1.5,13.0,0.0,24.0,0.0,16.0,23.08,23.08,2.0,0.0,0.0,0.0,1616
9311,Jasprit Bumrah,3.0,18.0,0.0,10.0,2.0,3.33,61.11,5.56,0.0,1.06,9.0,5.0,1628
9647,Hardik Pandya,3.0,18.0,0.0,30.0,2.0,10.0,33.33,22.22,0.0,0.81,9.0,15.0,1628
7910,Yuzvendra Chahal,2.0,12.0,0.0,10.0,2.0,5.0,41.67,8.33,0.0,1.38,6.0,5.0,1628
587,Ravindra Jadeja,2.0,12.0,0.0,22.0,0.0,11.0,8.33,25.0,0.0,0.0,0.0,0.0,1628
9781,Avesh Khan,4.0,26.0,0.0,45.0,1.0,11.25,50.0,19.23,2.0,0.35,26.0,45.0,1631
14659,Ravi Bishnoi,4.0,25.0,0.0,31.0,2.0,7.75,44.0,12.0,1.0,0.69,12.5,15.5,1631
587,Ravindra Jadeja,4.0,25.0,0.0,45.0,0.0,11.25,32.0,24.0,1.0,0.0,0.0,0.0,1631
7836,Deepak Chahar,3.0,18.0,0.0,28.0,1.0,9.33,50.0,27.78,0.0,0.45,18.0,28.0,1467
7910,Yuzvendra Chahal,4.0,25.0,0.0,34.0,1.0,8.5,52.0,20.0,1.0,0.36,25.0,34.0,1467
14659,Ravi Bishnoi,4.0,30.0,0.0,22.0,2.0,5.5,76.67,3.33,6.0,0.88,15.0,11.0,1467
7836,Deepak Chahar,4.0,24.0,0.0,40.0,0.0,10.0,33.33,25.0,0.0,0.0,0.0,0.0,1473
7910,Yuzvendra Chahal,4.0,26.0,0.0,31.0,1.0,7.75,30.77,11.54,2.0,0.31,26.0,31.0,1473
14659,Ravi Bishnoi,3.5,26.0,0.0,30.0,1.0,8.57,42.31,11.54,3.0,0.39,26.0,30.0,1473
7836,Deepak Chahar,1.5,11.0,0.0,15.0,2.0,10.0,54.55,27.27,0.0,1.88,5.5,7.5,1479
9781,Avesh Khan,4.0,25.0,0.0,43.0,0.0,10.75,44.0,28.0,1.0,0.0,0.0,0.0,1479
14659,Ravi Bishnoi,4.0,26.0,0.0,29.0,0.0,7.25,53.85,11.54,2.0,0.0,0.0,0.0,1479
9311,Jasprit Bumrah,3.0,18.0,0.0,19.0,0.0,6.33,38.89,11.11,0.0,0.0,0.0,0.0,1492
7910,Yuzvendra Chahal,3.0,18.0,0.0,11.0,1.0,3.67,44.44,0.0,0.0,0.48,18.0,11.0,1492
587,Ravindra Jadeja,4.0,24.0,0.0,28.0,1.0,7.0,37.5,12.5,0.0,0.33,24.0,28.0,1492
9311,Jasprit Bumrah,4.0,26.0,0.0,26.0,1.0,6.5,61.54,15.38,2.0,0.38,26.0,26.0,1493
7910,Yuzvendra Chahal,4.0,24.0,0.0,27.0,1.0,6.75,29.17,12.5,0.0,0.31,24.0,27.0,1493
587,Ravindra Jadeja,4.0,24.0,0.0,37.0,1.0,9.25,33.33,20.83,0.0,0.31,24.0,37.0,1493
10808,Mohammed Siraj,4.0,24.0,0.0,22.0,1.0,5.5,54.17,12.5,0.0,0.37,24.0,22.0,1494
9781,Avesh Khan,4.0,26.0,0.0,28.0,2.0,7.0,65.38,11.54,2.0,0.8,13.0,14.0,1494
8292,Kuldeep Yadav,4.0,24.0,0.0,29.0,0.0,7.25,41.67,8.33,0.0,0.0,0.0,0.0,1494
14659,Ravi Bishnoi,3.5,26.0,0.0,33.0,1.0,9.43,30.77,11.54,3.0,0.36,26.0,33.0,1494
9781,Avesh Khan,3.5,27.0,0.0,36.0,0.0,10.29,44.44,18.52,4.0,0.0,0.0,0.0,1554
7910,Yuzvendra Chahal,2.1,13.0,0.0,26.0,0.0,12.38,30.77,38.46,0.0,0.0,0.0,0.0,1554
9647,Hardik Pandya,1.0,6.0,0.0,18.0,0.0,18.0,50.0,50.0,0.0,0.0,0.0,0.0,1554
8808,Axar Patel,4.0,24.0,0.0,40.0,1.0,10.0,12.5,16.67,0.0,0.26,24.0,40.0,1554
9781,Avesh Khan,3.0,18.0,0.0,18.0,0.0,6.0,61.11,16.67,0.0,0.0,0.0,0.0,1569
9647,Hardik Pandya,3.0,18.0,0.0,31.0,0.0,10.33,33.33,27.78,0.0,0.0,0.0,0.0,1569
7910,Yuzvendra Chahal,4.0,25.0,0.0,49.0,1.0,12.25,32.0,28.0,1.0,0.3,25.0,49.0,1569
8808,Axar Patel,1.0,6.0,0.0,19.0,0.0,19.0,0.0,50.0,0.0,0.0,0.0,0.0,1569
9428,Shreyas Iyer,0.2,2.0,0.0,2.0,0.0,10.0,50.0,0.0,0.0,0.0,0.0,0.0,1569
9781,Avesh Khan,4.0,24.0,0.0,35.0,0.0,8.75,37.5,20.83,0.0,0.0,0.0,0.0,1571
8808,Axar Patel,4.0,24.0,0.0,29.0,1.0,7.25,50.0,12.5,0.0,0.36,24.0,29.0,1571
7910,Yuzvendra Chahal,4.0,27.0,0.0,20.0,3.0,5.0,51.85,3.7,3.0,1.12,9.0,6.67,1571
9647,Hardik Pandya,1.0,6.0,0.0,12.0,0.0,12.0,16.67,33.33,0.0,0.0,0.0,0.0,1572
9781,Avesh Khan,4.0,24.0,0.0,23.0,5.0,5.75,62.5,8.33,0.0,1.98,4.8,4.6,1572
7910,Yuzvendra Chahal,4.0,25.0,0.0,21.0,2.0,5.25,52.0,8.0,1.0,0.74,12.5,10.5,1572
8808,Axar Patel,3.5,23.0,0.0,19.0,1.0,5.43,52.17,8.7,0.0,0.42,23.0,19.0,1572
13217,Arshdeep Singh,4.0,25.0,0.0,33.0,3.0,8.25,44.0,16.0,1.0,1.02,8.33,11.0,1842
7909,Mohammed Shami,4.0,25.0,0.0,26.0,1.0,6.5,60.0,16.0,1.0,0.38,25.0,26.0,1842
9647,Hardik Pandya,4.0,24.0,0.0,31.0,3.0,7.75,41.67,16.67,0.0,1.0,8.0,10.33,1842
8808,Axar Patel,1.0,6.0,0.0,21.0,0.0,21.0,33.33,50.0,0.0,0.0,0.0,0.0,1842
13217,Arshdeep Singh,4.0,26.0,0.0,39.0,2.0,9.75,38.46,23.08,2.0,0.63,13.0,19.5,1848
7909,Mohammed Shami,4.0,24.0,0.0,27.0,1.0,6.75,41.67,8.33,0.0,0.34,24.0,27.0,1848
8808,Axar Patel,4.0,24.0,0.0,18.0,2.0,4.5,45.83,0.0,0.0,0.73,12.0,9.0,1848
9647,Hardik Pandya,1.0,7.0,0.0,9.0,0.0,9.0,28.57,0.0,1.0,0.0,0.0,0.0,1848
13217,Arshdeep Singh,4.0,25.0,0.0,25.0,2.0,6.25,56.0,16.0,1.0,0.74,12.5,12.5,1853
7909,Mohammed Shami,4.0,24.0,0.0,13.0,1.0,3.25,62.5,4.17,0.0,0.4,24.0,13.0,1853
9647,Hardik Pandya,4.0,24.0,0.0,33.0,1.0,8.25,33.33,12.5,0.0,0.32,24.0,33.0,1853
13217,Arshdeep Singh,4.0,24.0,0.0,40.0,2.0,10.0,41.67,25.0,0.0,0.65,12.0,20.0,1860
7909,Mohammed Shami,3.0,18.0,0.0,25.0,1.0,8.33,38.89,16.67,0.0,0.44,18.0,25.0,1860
8808,Axar Patel,1.0,6.0,0.0,6.0,0.0,6.0,33.33,0.0,0.0,0.0,0.0,0.0,1860
9647,Hardik Pandya,3.0,18.0,0.0,28.0,2.0,9.33,44.44,22.22,0.0,0.89,9.0,14.0,1860
13217,Arshdeep Singh,1.5,14.0,0.0,9.0,1.0,6.0,78.57,7.14,3.0,1.17,14.0,9.0,1873
7909,Mohammed Shami,2.0,12.0,0.0,14.0,2.0,7.0,58.33,16.67,0.0,1.5,6.0,7.0,1873
9647,Hardik Pandya,3.0,21.0,0.0,17.0,2.0,5.67,61.9,4.76,3.0,1.06,10.5,8.5,1873
8808,Axar Patel,3.2,20.0,0.0,41.0,1.0,12.81,20.0,30.0,0.0,0.33,20.0,41.0,1873
13217,Arshdeep Singh,2.0,13.0,0.0,15.0,0.0,7.5,38.46,15.38,1.0,0.0,0.0,0.0,1878
