InningsID,MatchID,BattingTeam,BowlingTeam
1,1616,England,India
2,1616,India,England
1,1628,England,India
2,1628,India,England
1,1631,England,India
2,1631,India,England
1,1467,West Indies,India
2,1467,India,West Indies
1,1473,West Indies,India
2,1473,India,West Indies
1,1479,West Indies,India
2,1479,India,West Indies
1,1492,Sri Lanka,India
2,1492,India,Sri Lanka
1,1493,Sri Lanka,India
2,1493,India,Sri Lanka
1,1494,Sri Lanka,India
2,1494,India,Sri Lanka
1,1554,South Africa,India
2,1554,India,South Africa
1,1569,South Africa,India
2,1569,India,South Africa
1,1571,South Africa,India
2,1571,India,South Africa
1,1572,South Africa,India
2,1572,India,South Africa
1,1842,Pakistan,India
2,1842,India,Pakistan
1,1848,Netherlands,India
2,1848,India,Netherlands
1,1853,South Africa,India
2,1853,India,South Africa
1,1860,Bangladesh,India
2,1860,India,Bangladesh
1,1873,Zimbabwe,India
2,1873,India,Zimbabwe
1,1878,England,India
2,1878,India,England
1,1580,Ireland,India
2,1580,India,Ireland
1,1586,Ireland,India
2,1586,India,Ireland
1,1702,West Indies,India
2,1702,India,West Indies
1,1718,West Indies,India
2,1718,India,West Indies
1,1720,West Indies,India
2,1720,India,West Indies
1,1725,West Indies,India
2,1725,India,West Indies
1,1726,West Indies,India
2,1726,India,West Indies
1,1898,New Zealand,India
2,1898,India,New Zealand
1,1911,New Zealand,India
2,1911,India,New Zealand
1,1750,Pakistan,India
2,1750,India,Pakistan
1,1754,Hong Kong,India
2,1754,India,Hong Kong
1,1758,Pakistan,India
2,1758,India,Pakistan
1,1759,Sri Lanka,India
2,1759,India,Sri Lanka
1,1761,Afghanistan,India
2,1761,India,Afghanistan
1,1788,Australia,India
2,1788,India,Australia
1,1794,Australia,India
2,1794,India,Australia
1,1796,Australia,India
2,1796,India,Australia
1,1800,South Africa,India
2,1800,India,South Africa
1,1803,South Africa,India
2,1803,India,South Africa
1,1805,South Africa,India
2,1805,India,South Africa
1,1984,Sri Lanka,India
2,1984,India,Sri Lanka
1,1985,Sri Lanka,India
2,1985,India,Sri Lanka
1,1986,Sri Lanka,India
2,1986,India,Sri Lanka
1,1990,New Zealand,India
2,1990,India,New Zealand
1,1991,New Zealand,India
2,1991,India,New Zealand
1,1992,New Zealand,India
2,1992,India,New Zealand
1,2188,West Indies,India
2,2188,India,West Indies
1,2191,West Indies,India
2,2191,India,West Indies
1,2192,West Indies,India
2,2192,India,West Indies
1,2193,West Indies,India
2,2193,India,West Indies
1,2194,West Indies,India
2,2194,India,West Indies
1,2200,Ireland,India
2,2200,India,Ireland
1,2208,Ireland,India
2,2208,India,Ireland
1,2396,South Africa,India
2,2396,India,South Africa
1,2401,South Africa,India
2,2401,India,South Africa
1,2360,Australia,India
2,2360,India,Australia
1,2367,Australia,India
2,2367,India,Australia
1,2372,Australia,India
2,2372,India,Australia
1,2379,Australia,India
2,2379,India,Australia
1,2380,Australia,India
2,2380,India,Australia
1,2428,Afghanistan,India
2,2428,India,Afghanistan
1,2431,Afghanistan,India
2,2431,India,Afghanistan
1,2435,Afghanistan,India
2,2435,India,Afghanistan
1,2278,Nepal,India
2,2278,India,Nepal
1,2296,Bangladesh,India
2,2296,India,Bangladesh
1,2639,Ireland,India
2,2639,India,Ireland
1,2658,Pakistan,India
2,2658,India,Pakistan
1,2671,United States of America,India
2,2671,India,United States of America
1,2710,Afghanistan,India
2,2710,India,Afghanistan
1,2716,Bangladesh,India
2,2716,India,Bangladesh
1,2721,Australia,India
2,2721,India,Australia
1,2724,England,India
2,2724,India,England
1,2729,South Africa,India
2,2729,India,South Africa
1,2737,Zimbabwe,India
2,2737,India,Zimbabwe
1,2739,Zimbabwe,India
2,2739,India,Zimbabwe
1,2749,Zimbabwe,India
2,2749,India,Zimbabwe
1,2759,Zimbabwe,India
2,2759,India,Zimbabwe
1,2762,Zimbabwe,India
2,2762,India,Zimbabwe
1,2767,Sri Lanka,India
2,2767,India,Sri Lanka
1,2768,Sri Lanka,India
2,2768,India,Sri Lanka
1,2769,Sri Lanka,India
2,2769,India,Sri Lanka
